113	-3.5799	-3.5799	-3.5799	1.98298
114	-3.5843	-3.5843	-3.58431	1.97843
115	-3.58867	-3.58867	-3.58868	1.97392
116	-3.593	-3.593	-3.593	1.96945
117	-3.59729	-3.59729	-3.5973	1.96502
118	-3.60154	-3.60155	-3.60155	1.96062
119	-3.60576	-3.60576	-3.60577	1.95626
120	-3.60995	-3.60995	-3.60996	1.95193
121	-3.6141	-3.6141	-3.6141	1.94764
122	-3.61821	-3.61821	-3.61822	1.94338
123	-3.62229	-3.6223	-3.6223	1.93916
124	-3.62634	-3.62634	-3.62635	1.93497
125	-3.63036	-3.63036	-3.63037	1.93081
126	-3.63434	-3.63434	-3.63435	1.92668
127	-3.6383	-3.6383	-3.6383	1.92259
128	-3.64222	-3.64222	-3.64222	1.91852
129	-3.64611	-3.64611	-3.64612	1.91449
130	-3.64997	-3.64997	-3.64998	1.91048
131	-3.6538	-3.6538	-3.65381	1.90651
132	-3.6576	-3.6576	-3.65761	1.90256
133	-3.66138	-3.66138	-3.66138	1.89864
134	-3.66512	-3.66512	-3.66513	1.89475
135	-3.66884	-3.66884	-3.66885	1.89089
136	-3.67253	-3.67253	-3.67254	1.88706
137	-3.67619	-3.67619	-3.6762	1.88325
138	-3.67983	-3.67983	-3.67984	1.87947
139	-3.68344	-3.68344	-3.68345	1.87571
140	-3.68702	-3.68702	-3.68703	1.87198
141	-3.69058	-3.69058	-3.69059	1.86828
142	-3.69412	-3.69412	-3.69412	1.8646
143	-3.69763	-3.69763	-3.69763	1.86094
144	-3.70111	-3.70111	-3.70112	1.85731
145	-3.70457	-3.70457	-3.70458	1.85371
146	-3.70801	-3.70801	-3.70801	1.85012
147	-3.71142	-3.71142	-3.71143	1.84657
148	-3.71481	-3.71481	-3.71482	1.84303
149	-3.71818	-3.71818	-3.71818	1.83952
150	-3.72152	-3.72152	-3.72153	1.83602
151	-3.72484	-3.72484	-3.72485	1.83255
152	-3.72814	-3.72814	-3.72815	1.82911
153	-3.73142	-3.73142	-3.73143	1.82568
154	-3.73468	-3.73468	-3.73469	1.82228
155	-3.73791	-3.73791	-3.73792	1.81889
156	-3.74113	-3.74113	-3.74114	1.81553
157	-3.74432	-3.74432	-3.74433	1.81219
158	-3.7475	-3.7475	-3.74751	1.80886
159	-3.75065	-3.75065	-3.75066	1.80556
160	-3.75379	-3.75379	-3.7538	1.80228
161	-3.7569	-3.7569	-3.75691	1.79901
162	-3.76	-3.76	-3.76001	1.79577
163	-3.76308	-3.76308	-3.76308	1.79254
164	-3.76613	-3.76613	-3.76614	1.78934
165	-3.76917	-3.76917	-3.76918	1.78615
166	-3.77219	-3.77219	-3.7722	1.78298
167	-3.7752	-3.7752	-3.7752	1.77982
168	-3.77818	-3.77818	-3.77819	1.77669
169	-3.78115	-3.78115	-3.78115	1.77357
170	-3.7841	-3.7841	-3.7841	1.77047
171	-3.78703	-3.78703	-3.78704	1.76739
172	-3.78994	-3.78994	-3.78995	1.76432
173	-3.79284	-3.79284	-3.79285	1.76128
174	-3.79572	-3.79572	-3.79573	1.75824
175	-3.79859	-3.79859	-3.7986	1.75523
176	-3.80144	-3.80144	-3.80144	1.75223
177	-3.80427	-3.80427	-3.80428	1.74924
178	-3.80708	-3.80708	-3.80709	1.74628
179	-3.80988	-3.80989	-3.80989	1.74332
180	-3.81267	-3.81267	-3.81268	1.74039
181	-3.81544	-3.81544	-3.81545	1.73746
182	-3.81819	-3.81819	-3.8182	1.73456
183	-3.82093	-3.82093	-3.82094	1.73167
184	-3.82366	-3.82366	-3.82366	1.72879
185	-3.82636	-3.82636	-3.82637	1.72593
186	-3.82906	-3.82906	-3.82907	1.72308
187	-3.83174	-3.83174	-3.83175	1.72025
188	-3.8344	-3.8344	-3.83441	1.71743
189	-3.83706	-3.83706	-3.83706	1.71462
190	-3.83969	-3.83969	-3.8397	1.71183
191	-3.84232	-3.84232	-3.84232	1.70905
192	-3.84493	-3.84493	-3.84493	1.70629
193	-3.84752	-3.84752	-3.84753	1.70354
194	-3.8501	-3.8501	-3.85011	1.7008
195	-3.85267	-3.85267	-3.85268	1.69807
196	-3.85523	-3.85523	-3.85524	1.69536
197	-3.85777	-3.85777	-3.85778	1.69266
198	-3.8603	-3.8603	-3.86031	1.68998
