579	0.711835	-2.3613	-0.00659969	-3.085	0.937955	-2.57212	0.430311	-3.0924
589	0.711707	-2.41845	-0.00658338	-3.14237	0.937967	-2.62888	0.430074	-3.15002
599	0.711574	-2.47657	-0.0065668	-3.20072	0.937978	-2.6866	0.429834	-3.20864
609	0.711437	-2.53565	-0.00654994	-3.26006	0.937986	-2.74528	0.429589	-3.26823
619	0.711295	-2.5957	-0.00653279	-3.32037	0.937992	-2.80491	0.429341	-3.32881
629	0.711148	-2.65671	-0.00651537	-3.38167	0.937996	-2.86551	0.429089	-3.39038
639	0.710996	-2.71869	-0.00649766	-3.44394	0.937997	-2.92706	0.428833	-3.45293
649	0.71084	-2.78163	-0.00647967	-3.5072	0.937995	-2.98957	0.428574	-3.51647
659	0.710678	-2.84554	-0.00646139	-3.57143	0.937991	-3.05304	0.428311	-3.58099
669	0.710512	-2.9104	-0.00644283	-3.63665	0.937984	-3.11746	0.428044	-3.64649
679	0.710341	-2.97623	-0.00642397	-3.70285	0.937974	-3.18284	0.427774	-3.71299
689	0.710164	-3.04302	-0.00640483	-3.77003	0.937961	-3.24917	0.4275	-3.78046
699	0.709982	-3.11077	-0.0063854	-3.83819	0.937946	-3.31646	0.427222	-3.84892
709	0.709796	-3.17948	-0.00636567	-3.90733	0.937927	-3.3847	0.42694	-3.91837
719	0.709604	-3.24915	-0.00634564	-3.97745	0.937905	-3.4539	0.426655	-3.9888
729	0.709406	-3.31978	-0.00632532	-4.04855	0.93788	-3.52404	0.426367	-4.06021
739	0.709204	-3.39137	-0.0063047	-4.12064	0.937852	-3.59514	0.426075	-4.13261
749	0.708996	-3.46391	-0.00628377	-4.1937	0.93782	-3.66719	0.425779	-4.20599
759	0.708782	-3.53741	-0.00626254	-4.26775	0.937786	-3.74019	0.425479	-4.28036
769	0.708564	-3.61187	-0.006241	-4.34277	0.937747	-3.81414	0.425177	-4.35572
779	0.708339	-3.68728	-0.00621914	-4.41878	0.937705	-3.88904	0.42487	-4.43205
789	0.70811	-3.76365	-0.00619697	-4.49576	0.93766	-3.96489	0.424561	-4.50938
799	0.707874	-3.84096	-0.00617448	-4.57373	0.937611	-4.04168	0.424247	-4.58769
809	0.707634	-3.91924	-0.00615167	-4.65268	0.937558	-4.11942	0.423931	-4.66698
