0	0.714178	-0.714178	-0.00707107	-1.43543	0.936322	-0.936322	0.437217	-1.43543
9	0.714177	-0.714669	-0.00707036	-1.43592	0.936321	-0.936791	0.437207	-1.43593
19	0.714174	-0.716141	-0.00706824	-1.43739	0.936318	-0.938197	0.437176	-1.43743
29	0.714168	-0.718595	-0.0070647	-1.43983	0.936312	-0.94054	0.437124	-1.43993
39	0.71416	-0.722031	-0.00705976	-1.44326	0.936305	-0.94382	0.437051	-1.44344
49	0.71415	-0.726448	-0.0070534	-1.44767	0.936294	-0.948037	0.436957	-1.44795
59	0.714137	-0.731846	-0.00704563	-1.45306	0.936282	-0.95319	0.436843	-1.45346
69	0.714121	-0.738225	-0.00703645	-1.45943	0.936266	-0.95928	0.436708	-1.45997
79	0.714102	-0.745584	-0.00702586	-1.46677	0.936247	-0.966305	0.436552	-1.46748
89	0.714079	-0.753923	-0.00701387	-1.4751	0.936225	-0.974267	0.436376	-1.476
99	0.714052	-0.763242	-0.00700048	-1.48441	0.936199	-0.983163	0.436179	-1.48552
109	0.71402	-0.77354	-0.00698568	-1.49469	0.936169	-0.992993	0.435962	-1.49603
119	0.713984	-0.784817	-0.00696949	-1.50596	0.936135	-1.00376	0.435724	-1.50755
129	0.713942	-0.797071	-0.0069519	-1.5182	0.936095	-1.01546	0.435466	-1.52008
139	0.713894	-0.810303	-0.00693293	-1.53143	0.93605	-1.02809	0.435187	-1.5336
149	0.713839	-0.82451	-0.00691257	-1.54563	0.935999	-1.04165	0.434888	-1.54812
159	0.713777	-0.839694	-0.00689082	-1.56081	0.935942	-1.05614	0.434569	-1.56365
169	0.713707	-0.855852	-0.0068677	-1.57698	0.935877	-1.07156	0.434229	-1.58018
179	0.713628	-0.872984	-0.0068432	-1.59412	0.935804	-1.08791	0.43387	-1.5977
189	0.71354	-0.891088	-0.00681734	-1.61224	0.935724	-1.10519	0.433491	-1.61623
199	0.713442	-0.910163	-0.00679011	-1.63135	0.935634	-1.1234	0.433091	-1.63577
209	0.713333	-0.930209	-0.00676152	-1.65143	0.935534	-1.14253	0.432672	-1.6563
219	0.713211	-0.951223	-0.00673157	-1.67249	0.935424	-1.16258	0.432234	-1.67783
229	0.713077	-0.973204	-0.00670028	-1.69453	0.935302	-1.18356	0.431775	-1.70037
239	0.71293	-0.996151	-0.00666765	-1.71755	0.935169	-1.20546	0.431298	-1.7239
249	0.712768	-1.02006	-0.00663367	-1.74155	0.935022	-1.22828	0.430801	-1.74844
259	0.712591	-1.04494	-0.00659837	-1.76653	0.934862	-1.25201	0.430285	-1.77397
269	0.712397	-1.07077	-0.00656174	-1.79249	0.934687	-1.27667	0.42975	-1.80051
279	0.712187	-1.09756	-0.00652379	-1.81943	0.934496	-1.30223	0.429195	-1.82805
289	0.711958	-1.12531	-0.00648452	-1.84735	0.93429	-1.32871	0.428623	-1.85659
299	0.71171	-1.15401	-0.00644394	-1.87625	0.934065	-1.3561	0.428031	-1.88613
309	0.711443	-1.18367	-0.00640206	-1.90613	0.933823	-1.3844	0.427421	-1.91667
319	0.711154	-1.21427	-0.00635887	-1.93699	0.933562	-1.4136	0.426793	-1.94821
329	0.710843	-1.24583	-0.00631439	-1.96882	0.93328	-1.44371	0.426147	-1.98075
339	0.71051	-1.27832	-0.00626862	-2.00164	0.932977	-1.47472	0.425482	-2.01429
349	0.710153	-1.31176	-0.00622156	-2.03544	0.932652	-1.50663	0.4248	-2.04883
359	0.709771	-1.34614	-0.00617321	-2.07022	0.932304	-1.53944	0.424101	-2.08437
369	0.709364	-1.38145	-0.00612358	-2.10597	0.931933	-1.57314	0.423384	-2.12091
379	0.70893	-1.4177	-0.00607266	-2.14271	0.931536	-1.60773	0.42265	-2.15844
389	0.708468	-1.45487	-0.00602046	-2.18043	0.931113	-1.64321	0.421898	-2.19698
399	0.707978	-1.49298	-0.00596698	-2.21912	0.930663	-1.67957	0.421131	-2.23652
409	0.707459	-1.532	-0.00591221	-2.2588	0.930184	-1.71682	0.420346	-2.27706
419	0.70691	-1.57195	-0.00585616	-2.29945	0.929677	-1.75495	0.419545	-2.31859
429	0.70633	-1.61281	-0.00579881	-2.34109	0.92914	-1.79395	0.418728	-2.36113
439	0.705718	-1.65459	-0.00574016	-2.3837	0.928572	-1.83382	0.417896	-2.40466
449	0.705074	-1.69727	-0.0056802	-2.4273	0.927971	-1.87457	0.417047	-2.44919
459	0.704396	-1.74086	-0.00561893	-2.47187	0.927338	-1.91618	0.416184	-2.49472
469	0.703683	-1.78535	-0.00555633	-2.51742	0.92667	-1.95865	0.415305	-2.54125
479	0.702936	-1.83074	-0.00549239	-2.56396	0.925968	-2.00198	0.414411	-2.58877
489	0.702153	-1.87702	-0.00542708	-2.61147	0.925229	-2.04617	0.413503	-2.6373
499	0.701333	-1.92419	-0.00536041	-2.65996	0.924453	-2.09121	0.412581	-2.68682
509	0.700476	-1.97224	-0.00529233	-2.70943	0.92364	-2.13709	0.411644	-2.73733
519	0.699581	-2.02117	-0.00522283	-2.75988	0.922787	-2.18382	0.410694	-2.78885
529	0.698648	-2.07098	-0.00515188	-2.81132	0.921894	-2.23138	0.409731	-2.84136
539	0.697675	-2.12166	-0.00507945	-2.86373	0.920961	-2.27979	0.408754	-2.89487
549	0.696661	-2.1732	-0.0050055	-2.91712	0.919985	-2.32902	0.407765	-2.94937
559	0.695608	-2.2256	-0.00493001	-2.97148	0.918967	-2.37907	0.406763	-3.00487
569	0.694513	-2.27886	-0.00485291	-3.02683	0.917905	-2.42995	0.405749	-3.06137
